Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[16, 4, 128]",Addition,24,4,0.717948717948718,0.8148148148148148,0.7833333333333333
"[16, 4, 128]",Retrain,16,5,0.8717948717948718,0.9012345679012346,0.8916666666666667
"[16, 4, 128]",Retrain,26,5,0.8717948717948718,0.8765432098765432,0.875
"[16, 4, 128]",Addition,26,5,0.717948717948718,0.9259259259259259,0.8583333333333333
"[16, 4, 128]",Retrain,16,6,0.9230769230769231,0.9259259259259259,0.925
"[16, 4, 128]",Retrain,28,6,0.9230769230769231,0.9259259259259259,0.925
"[16, 4, 128]",Addition,28,6,0.717948717948718,0.9506172839506173,0.875
"[16, 4, 128]",Retrain,16,7,0.8461538461538461,0.9506172839506173,0.9166666666666666
"[16, 4, 128]",Retrain,30,7,0.8717948717948718,0.9506172839506173,0.925
"[16, 4, 128]",Addition,30,7,0.6410256410256411,0.9506172839506173,0.85
"[16, 4, 128]",Retrain,16,8,0.7948717948717948,0.9629629629629629,0.9083333333333333
"[16, 4, 128]",Retrain,32,8,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[16, 4, 128]",Addition,32,8,0.5641025641025641,0.9506172839506173,0.825
"[16, 4, 128]",Retrain,16,9,0.8717948717948718,0.9629629629629629,0.9333333333333333
"[16, 4, 128]",Retrain,34,9,0.8461538461538461,0.9753086419753086,0.9333333333333333
"[16, 4, 128]",Addition,34,9,0.5641025641025641,0.9506172839506173,0.825
"[16, 4, 128]",Retrain,16,10,0.8461538461538461,0.9506172839506173,0.9166666666666666
"[16, 4, 128]",Retrain,36,10,0.8205128205128205,0.9506172839506173,0.9083333333333333
"[16, 4, 128]",Addition,36,10,0.5384615384615384,0.9506172839506173,0.8166666666666667
"[64, 256, 8]",Basis,64,0,0.9487179487179487,0.5308641975308642,0.6666666666666666
"[64, 256, 8]",Retrain,64,1,0.9487179487179487,0.6666666666666666,0.7583333333333333
"[64, 256, 8]",Retrain,66,1,0.9743589743589743,0.6666666666666666,0.7666666666666667
"[64, 256, 8]",Addition,66,1,0.9487179487179487,0.5555555555555556,0.6833333333333333
"[64, 256, 8]",Retrain,64,2,0.8974358974358975,0.7777777777777778,0.8166666666666667
"[64, 256, 8]",Retrain,68,2,0.8974358974358975,0.7654320987654321,0.8083333333333333
"[64, 256, 8]",Addition,68,2,0.9487179487179487,0.5679012345679012,0.6916666666666667
"[64, 256, 8]",Retrain,64,3,0.8974358974358975,0.8641975308641975,0.875
"[64, 256, 8]",Retrain,70,3,0.8974358974358975,0.8518518518518519,0.8666666666666667
"[64, 256, 8]",Addition,70,3,0.9230769230769231,0.5925925925925926,0.7
"[64, 256, 8]",Retrain,64,4,0.8974358974358975,0.8765432098765432,0.8833333333333333
"[64, 256, 8]",Retrain,72,4,0.8717948717948718,0.8888888888888888,0.8833333333333333
"[64, 256, 8]",Addition,72,4,0.8974358974358975,0.6296296296296297,0.7166666666666667
"[64, 256, 8]",Retrain,64,5,0.8974358974358975,0.9012345679012346,0.9
