Original Model Parameters,Retrain or Addition,Total Trees,Dataset Increase Number,Binary Polymers Score,Terpolymer Test Score,Combined Test Score
"[8, 4, 8]",Retrain,8,8,0.6909090909090909,0.8765432098765432,0.7696335078534031
"[8, 4, 8]",Retrain,24,8,0.6909090909090909,0.9012345679012346,0.7801047120418848
"[8, 4, 8]",Addition,24,8,0.5545454545454546,0.9506172839506173,0.7225130890052356
"[8, 4, 8]",Retrain,8,9,0.7454545454545455,0.8888888888888888,0.806282722513089
"[8, 4, 8]",Retrain,26,9,0.6909090909090909,0.9259259259259259,0.7905759162303665
"[8, 4, 8]",Addition,26,9,0.5636363636363636,0.9629629629629629,0.7329842931937173
"[8, 4, 8]",Retrain,8,10,0.6909090909090909,0.9506172839506173,0.8010471204188482
"[8, 4, 8]",Retrain,28,10,0.6454545454545455,0.9382716049382716,0.7696335078534031
"[8, 4, 8]",Addition,28,10,0.5454545454545454,0.9629629629629629,0.7225130890052356
"[16, 16, 128]",Basis,16,0,0.7454545454545455,0.49382716049382713,0.6387434554973822
"[16, 16, 128]",Retrain,16,1,0.7454545454545455,0.654320987654321,0.7068062827225131
"[16, 16, 128]",Retrain,18,1,0.7363636363636363,0.6666666666666666,0.7068062827225131
"[16, 16, 128]",Addition,18,1,0.7363636363636363,0.5432098765432098,0.6544502617801047
"[16, 16, 128]",Retrain,16,2,0.7363636363636363,0.7283950617283951,0.7329842931937173
"[16, 16, 128]",Retrain,20,2,0.6818181818181818,0.7530864197530864,0.7120418848167539
"[16, 16, 128]",Addition,20,2,0.7454545454545455,0.6172839506172839,0.6910994764397905
"[16, 16, 128]",Retrain,16,3,0.7454545454545455,0.7654320987654321,0.7539267015706806
"[16, 16, 128]",Retrain,22,3,0.7454545454545455,0.8024691358024691,0.7696335078534031
"[16, 16, 128]",Addition,22,3,0.7181818181818181,0.7037037037037037,0.7120418848167539
"[16, 16, 128]",Retrain,16,4,0.6727272727272727,0.8888888888888888,0.7643979057591623
"[16, 16, 128]",Retrain,24,4,0.6818181818181818,0.9012345679012346,0.774869109947644
"[16, 16, 128]",Addition,24,4,0.6090909090909091,0.8888888888888888,0.7277486910994765
"[16, 16, 128]",Retrain,16,5,0.6818181818181818,0.9012345679012346,0.774869109947644
"[16, 16, 128]",Retrain,26,5,0.7090909090909091,0.9135802469135802,0.7958115183246073
"[16, 16, 128]",Addition,26,5,0.5909090909090909,0.9629629629629629,0.7486910994764397
"[16, 16, 128]",Retrain,16,6,0.7363636363636363,0.9135802469135802,0.8115183246073299
"[16, 16, 128]",Retrain,28,6,0.7363636363636363,0.9629629629629629,0.8324607329842932
"[16, 16, 128]",Addition,28,6,0.5909090909090909,0.9629629629629629,0.7486910994764397
"[16, 16, 128]",Retrain,16,7,0.7,0.9629629629629629,0.8115183246073299
"[16, 16, 128]",Retrain,30,7,0.6909090909090909,0.9629629629629629,0.806282722513089
"[16, 16, 128]",Addition,30,7,0.5636363636363636,0.9753086419753086,0.7382198952879581
"[16, 16, 128]",Retrain,16,8,0.7818181818181819,0.9259259259259259,0.8429319371727748
"[16, 16, 128]",Retrain,32,8,0.7181818181818181,0.9259259259259259,0.806282722513089
"[16, 16, 128]",Addition,32,8,0.5636363636363636,0.9629629629629629,0.7329842931937173
"[16, 16, 128]",Retrain,16,9,0.7363636363636363,0.9506172839506173,0.8272251308900523
"[16, 16, 128]",Retrain,34,9,0.7181818181818181,0.9506172839506173,0.8167539267015707
"[16, 16, 128]",Addition,34,9,0.5454545454545454,0.9629629629629629,0.7225130890052356
"[16, 16, 128]",Retrain,16,10,0.7454545454545455,0.9629629629629629,0.837696335078534
"[16, 16, 128]",Retrain,36,10,0.7181818181818181,0.9506172839506173,0.8167539267015707
"[16, 16, 128]",Addition,36,10,0.5636363636363636,0.9629629629629629,0.7329842931937173
"[16, 128, 512]",Basis,16,0,0.7727272727272727,0.4074074074074074,0.6178010471204188
"[16, 128, 512]",Retrain,16,1,0.7545454545454545,0.6419753086419753,0.7068062827225131
"[16, 128, 512]",Retrain,18,1,0.7454545454545455,0.6666666666666666,0.7120418848167539
"[16, 128, 512]",Addition,18,1,0.7454545454545455,0.4691358024691358,0.6282722513089005
"[16, 128, 512]",Retrain,16,2,0.6909090909090909,0.7407407407407407,0.7120418848167539
