Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,1,2,1,512,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,2,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,2,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,2,2,1,4,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,4,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,8,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,8,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,16,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,16,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,32,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,32,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,64,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,64,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,128,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,128,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,256,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,256,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,2,2,1,512,0.7581904331298868,0.035656203538601716,"[0.7692307692307693, 0.8765432098765432, 0.8416666666666667]"
Reduced,1,2,2,1,512,0.6426161941026505,0.012854129552760529,"[0.5909090909090909, 0.7777777777777778, 0.6701570680628273]"
Reduced,1,4,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,4,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,4,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,4,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,4,2,1,8,0.7655231205438959,0.04029915531692484,"[0.8205128205128205, 0.9135802469135802, 0.8833333333333333]"
Reduced,1,4,2,1,8,0.6790719990810233,0.030909769193789887,"[0.5818181818181818, 0.9382716049382716, 0.7329842931937173]"
Reduced,1,4,2,1,16,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,16,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,32,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,32,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,64,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,64,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,128,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,128,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,256,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,256,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,4,2,1,512,0.7677958478166231,0.04032091678035754,"[0.8717948717948718, 0.9382716049382716, 0.9166666666666666]"
Reduced,1,4,2,1,512,0.6705425342235691,0.03334380391117471,"[0.5727272727272728, 0.9259259259259259, 0.7225130890052356]"
Reduced,1,8,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,8,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,8,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,8,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,8,2,1,8,0.7708492063439654,0.04659529979012794,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Reduced,1,8,2,1,8,0.6752745307265929,0.032049949198667355,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,8,2,1,16,0.784027074387556,0.0318910257777233,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Reduced,1,8,2,1,16,0.6940035643646472,0.033846093551483034,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,8,2,1,32,0.7960395027030216,0.03163115307126793,"[0.8461538461538461, 0.9135802469135802, 0.8916666666666667]"
Reduced,1,8,2,1,32,0.6877197175572576,0.02763657055813853,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
Reduced,1,8,2,1,64,0.7960395027030216,0.03163115307126793,"[0.8461538461538461, 0.9135802469135802, 0.8916666666666667]"
Reduced,1,8,2,1,64,0.6960789424407228,0.019922182814598906,"[0.6454545454545455, 0.9506172839506173, 0.774869109947644]"
Reduced,1,8,2,1,128,0.7960395027030216,0.03163115307126793,"[0.8461538461538461, 0.9135802469135802, 0.8916666666666667]"
Reduced,1,8,2,1,128,0.6960789424407228,0.019922182814598906,"[0.6454545454545455, 0.9506172839506173, 0.774869109947644]"
Reduced,1,8,2,1,256,0.7960395027030216,0.03163115307126793,"[0.8461538461538461, 0.9135802469135802, 0.8916666666666667]"
Reduced,1,8,2,1,256,0.6960789424407228,0.019922182814598906,"[0.6454545454545455, 0.9506172839506173, 0.774869109947644]"
Reduced,1,8,2,1,512,0.7960395027030216,0.03163115307126793,"[0.8461538461538461, 0.9135802469135802, 0.8916666666666667]"
Reduced,1,8,2,1,512,0.6960789424407228,0.019922182814598906,"[0.6454545454545455, 0.9506172839506173, 0.774869109947644]"
Reduced,1,16,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,16,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,16,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,16,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,16,2,1,8,0.7708492063439654,0.04659529979012794,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Reduced,1,16,2,1,8,0.6752745307265929,0.032049949198667355,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,16,2,1,16,0.7794293732381308,0.030206584712248248,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Reduced,1,16,2,1,16,0.6876200772854001,0.026011370202190576,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,16,2,1,32,0.7980668044794207,0.01814237093432353,"[0.7948717948717948, 0.9135802469135802, 0.875]"
Reduced,1,16,2,1,32,0.6739201548447751,0.041011815291439664,"[0.6909090909090909, 0.9382716049382716, 0.7958115183246073]"
Reduced,1,16,2,1,64,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,16,2,1,64,0.6833998673181659,0.035751454135725724,"[0.6909090909090909, 0.9259259259259259, 0.7905759162303665]"
Reduced,1,16,2,1,128,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
