Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Original,1,256,2,1,64,0.682180355,0.037274304,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
Reduced,1,256,2,1,128,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,256,2,1,128,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,256,2,1,256,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,256,2,1,256,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,256,2,1,512,0.797657725,0.013186464,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Original,1,256,2,1,512,0.679945469,0.035906554,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,2,1,2,1,2,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,2,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,4,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,4,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,8,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,8,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,16,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,16,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,32,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,32,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,64,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,64,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,128,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,128,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,256,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,256,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,1,2,1,512,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,1,2,1,512,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,2,2,1,2,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,2,2,1,2,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,2,2,1,4,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,4,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,8,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,8,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,16,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,16,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,32,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,32,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,64,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,64,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,128,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,128,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,256,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,256,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,2,2,1,512,0.764814784,0.025619684,"[0.7435897435897436, 0.8641975308641975, 0.825]"
Original,2,2,2,1,512,0.665583526,0.020867704,"[0.5727272727272728, 0.9135802469135802, 0.7172774869109948]"
Reduced,2,4,2,1,2,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,4,2,1,2,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,4,2,1,4,0.786615705,0.020757582,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Original,2,4,2,1,4,0.650965179,0.031412439,"[0.5909090909090909, 0.9012345679012346, 0.7225130890052356]"
Reduced,2,4,2,1,8,0.786508166,0.034554851,"[0.9487179487179487, 0.9012345679012346, 0.9166666666666666]"
Original,2,4,2,1,8,0.695820532,0.051861364,"[0.6181818181818182, 0.8888888888888888, 0.7329842931937173]"
Reduced,2,4,2,1,16,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
Original,2,4,2,1,16,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,4,2,1,32,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
