ChromatogramRI,
X:,Y:
6.92667,0.03
6.92833,0.026
6.93,0.021
6.93167,0.017
6.93333,0.018
6.935,0.022
6.93667,0.037
6.93833,0.042
6.94,0.036
6.94167,0.036
6.94333,0.025
6.945,0.025
6.94667,0.024
6.94833,0.028
6.95,0.037
6.95167,0.046
6.95333,0.052
6.955,0.057
6.95667,0.056
6.95833,0.045
6.96,0.045
6.96167,0.039
6.96333,0.039
6.965,0.044
6.96667,0.05
6.96833,0.059
6.97,0.063
6.97167,0.057
6.97333,0.052
6.975,0.041
6.97667,0.033
6.97833,0.028
6.98,0.03
6.98167,0.035
6.98333,0.041
6.985,0.042
6.98667,0.038
6.98833,0.034
6.99,0.03
6.99167,0.021
6.99333,0.016
6.995,0.011
6.99667,0.016
6.99833,0.02
7,0.026
7.00167,0.036
7.00333,0.035
7.005,0.04
7.00667,0.035
7.00833,0.025
7.01,0.021
7.01167,0.022
7.01333,0.028
7.015,0.033
7.01667,0.043
7.01833,0.044
7.02,0.044
7.02167,0.044
7.02333,0.034
7.025,0.029
7.02667,0.019
7.02833,0.02
7.03,0.024
7.03167,0.034
7.03333,0.039
7.035,0.039
7.03667,0.039
7.03833,0.039
7.04,0.035
7.04167,0.03
7.04333,0.025
7.045,0.031
7.04667,0.037
7.04833,0.042
7.05,0.047
7.05167,0.047
7.05333,0.051
7.055,0.045
7.05667,0.039
7.05833,0.038
7.06,0.037
7.06167,0.042
7.06333,0.058
7.065,0.058
7.06667,0.062
7.06833,0.058
7.07,0.052
7.07167,0.046
7.07333,0.041
7.075,0.04
7.07667,0.034
7.07833,0.038
7.08,0.038
7.08167,0.039
7.08333,0.039
7.085,0.033
7.08667,0.027
7.08833,0.027
7.09,0.017
7.09167,0.016
7.09333,0.021
7.095,0.025
7.09667,0.04
7.09833,0.045
7.1,0.052
7.10167,0.046
7.10333,0.043
7.105,0.038
7.10667,0.033
7.10833,0.029
7.11,0.029
7.11167,0.034
7.11333,0.044
7.115,0.045
7.11667,0.04
7.11833,0.036
7.12,0.031
7.12167,0.021
7.12333,0.017
7.125,0.018
7.12667,0.023
7.12833,0.034
7.13,0.039
7.13167,0.044
7.13333,0.043
7.135,0.038
7.13667,0.037
7.13833,0.031
7.14,0.026
7.14167,0.031
7.14333,0.037
7.145,0.042
7.14667,0.042
7.14833,0.041
7.15,0.036
7.15167,0.032
7.15333,0.027
7.155,0.027
7.15667,0.028
7.15833,0.033
7.16,0.038
7.16167,0.048
7.16333,0.053
7.165,0.052
7.16667,0.046
7.16833,0.036
7.17,0.031
7.17167,0.026
7.17333,0.02
7.175,0.025
7.17667,0.03
7.17833,0.039
7.18,0.038
7.18167,0.042
7.18333,0.041
7.185,0.031
7.18667,0.026
7.18833,0.025
7.19,0.025
7.19167,0.04
7.19333,0.051
7.195,0.057
7.19667,0.058
7.19833,0.054
7.2,0.049
7.20167,0.035
7.20333,0.03
7.205,0.025
7.20667,0.025
7.20833,0.035
7.21,0.046
7.21167,0.05
7.21333,0.05
7.215,0.049
7.21667,0.044
7.21833,0.04
7.22,0.035
7.22167,0.034
7.22333,0.034
7.225,0.043
7.22667,0.047
7.22833,0.052
7.23,0.052
7.23167,0.046
7.23333,0.037
7.235,0.032
7.23667,0.026
7.23833,0.031
7.24,0.035
7.24167,0.044
7.24333,0.055
7.245,0.06
7.24667,0.056
7.24833,0.052
7.25,0.046
7.25167,0.035
7.25333,0.03
7.255,0.036
7.25667,0.046
7.25833,0.057
7.26,0.062
7.26167,0.057
7.26333,0.053
7.265,0.047
7.26667,0.042
7.26833,0.032
7.27,0.032
7.27167,0.033
7.27333,0.043
7.275,0.043
7.27667,0.048
7.27833,0.045
7.28,0.04
7.28167,0.034
7.28333,0.029
7.285,0.029
7.28667,0.024
7.28833,0.029
7.29,0.039
7.29167,0.049
7.29333,0.049
7.295,0.048
7.29667,0.048
7.29833,0.043
7.3,0.028
7.30167,0.023
7.30333,0.024
7.305,0.034
