ChromatogramRI,
X:,Y:
7.15833,0.025
7.16,0.025
7.16167,0.035
7.16333,0.04
7.165,0.034
7.16667,0.034
7.16833,0.028
7.17,0.023
7.17167,0.013
7.17333,0.018
7.175,0.023
7.17667,0.033
7.17833,0.039
7.18,0.045
7.18167,0.04
7.18333,0.041
7.185,0.036
7.18667,0.031
7.18833,0.021
7.19,0.016
7.19167,0.026
7.19333,0.036
7.195,0.041
7.19667,0.046
7.19833,0.041
7.2,0.042
7.20167,0.032
7.20333,0.028
7.205,0.018
7.20667,0.024
7.20833,0.035
7.21,0.041
7.21167,0.045
7.21333,0.044
7.215,0.044
7.21667,0.033
7.21833,0.028
7.22,0.017
7.22167,0.017
7.22333,0.022
7.225,0.027
7.22667,0.036
7.22833,0.037
7.23,0.037
7.23167,0.032
7.23333,0.027
7.235,0.022
7.23667,0.021
7.23833,0.016
7.24,0.016
7.24167,0.022
7.24333,0.027
7.245,0.032
7.24667,0.031
7.24833,0.026
7.25,0.017
7.25167,0.011
7.25333,0.011
7.255,0.012
7.25667,0.017
7.25833,0.032
7.26,0.037
7.26167,0.044
7.26333,0.039
7.265,0.035
7.26667,0.025
7.26833,0.014
7.27,0.01
7.27167,0.01
7.27333,0.015
7.275,0.027
7.27667,0.032
7.27833,0.028
7.28,0.017
7.28167,0.013
7.28333,0.008
7.285,0.004
7.28667,0.003
7.28833,0.003
7.29,0.007
7.29167,0.016
7.29333,0.026
7.295,0.025
7.29667,0.025
7.29833,0.019
7.3,0.012
7.30167,0.008
7.30333,0.004
7.305,0.009
7.30667,0.02
7.30833,0.025
7.31,0.03
7.31167,0.03
7.31333,0.024
7.315,0.019
7.31667,0.013
7.31833,0.007
7.32,0.018
7.32167,0.022
7.32333,0.026
7.325,0.03
7.32667,0.025
7.32833,0.024
7.33,0.019
7.33167,0.018
7.33333,0.014
7.335,0.009
7.33667,0.016
7.33833,0.022
7.34,0.027
7.34167,0.028
7.34333,0.027
7.345,0.022
7.34667,0.011
7.34833,0.001
7.35,0.002
7.35167,0.001
7.35333,0.006
7.355,0.022
7.35667,0.026
7.35833,0.031
7.36,0.03
7.36167,0.02
7.36333,0.015
7.365,0.009
7.36667,0.009
7.36833,0.009
7.37,0.019
7.37167,0.028
7.37333,0.038
7.375,0.038
7.37667,0.033
7.37833,0.027
7.38,0.023
7.38167,0.018
7.38333,0.013
7.385,0.014
7.38667,0.019
7.38833,0.023
7.39,0.028
7.39167,0.027
7.39333,0.022
7.395,0.022
7.39667,0.016
7.39833,0.006
7.4,0
7.40167,0.006
7.40333,0.016
7.405,0.02
7.40667,0.024
7.40833,0.027
7.41,0.022
7.41167,0.017
7.41333,0.007
7.415,0.002
7.41667,-0.003
7.41833,0.007
7.42,0.017
7.42167,0.022
7.42333,0.028
7.425,0.028
7.42667,0.029
7.42833,0.024
7.43,0.019
7.43167,0.019
7.43333,0.025
7.435,0.03
7.43667,0.035
7.43833,0.041
7.44,0.036
7.44167,0.036
7.44333,0.026
7.445,0.02
7.44667,0.015
7.44833,0.01
7.45,0.01
7.45167,0.01
7.45333,0.02
7.455,0.024
7.45667,0.029
7.45833,0.02
7.46,0.01
7.46167,0.005
7.46333,0
7.465,0
7.46667,0
7.46833,0.011
7.47,0.022
7.47167,0.028
7.47333,0.029
7.475,0.029
7.47667,0.021
7.47833,0.01
7.48,0.006
7.48167,0.01
7.48333,0.021
7.485,0.026
7.48667,0.031
7.48833,0.032
7.49,0.031
7.49167,0.026
7.49333,0.015
7.495,0.014
7.49667,0.012
7.49833,0.015
7.5,0.019
7.50167,0.028
7.50333,0.028
7.505,0.028
7.50667,0.023
7.50833,0.018
7.51,0.013
7.51167,0.003
7.51333,0.001
7.515,0.012
7.51667,0.017
7.51833,0.022
7.52,0.022
7.52167,0.027
7.52333,0.023
7.525,0.019
7.52667,0.014
7.52833,0.004
7.53,0.005
7.53167,0.016
7.53333,0.026
7.535,0.037
7.53667,0.037
7.53833,0.037
7.54,0.027
7.54167,0.021
7.54333,0.017
7.545,0.017
7.54667,0.016
7.54833,0.021
7.55,0.03
7.55167,0.035
7.55333,0.034
7.555,0.033
7.55667,0.028
7.55833,0.023
7.56,0.023
7.56167,0.022
7.56333,0.027
7.565,0.032
7.56667,0.031
7.56833,0.032
7.57,0.037
7.57167,0.034
7.57333,0.024
7.575,0.016
7.57667,0.006
7.57833,0.001
7.58,0.008
7.58167,0.018
7.58333,0.028
7.585,0.033
7.58667,0.033
7.58833,0.029
7.59,0.023
7.59167,0.013
7.59333,0.007
7.595,0.006
7.59667,0.016
7.59833,0.03
7.6,0.035
7.60167,0.03
7.60333,0.025
7.605,0.016
7.60667,0.011
7.60833,0.007
7.61,0.002
7.61167,0.007
7.61333,0.012
7.615,0.016
7.61667,0.021
7.61833,0.021
7.62,0.016
7.62167,0.011
7.62333,0.006
7.625,0
7.62667,0
7.62833,0.01
7.63,0.016
7.63167,0.021
7.63333,0.021
7.635,0.016
7.63667,0.017
7.63833,0.012
7.64,0.001
7.64167,-0.002
7.64333,0.002
7.645,0.008
7.64667,0.018
7.64833,0.023
7.65,0.023
7.65167,0.019
7.65333,0.014
7.655,0.009
7.65667,0.004
7.65833,0.004
7.66,0.004
7.66167,0.015
7.66333,0.019
7.665,0.03
7.66667,0.029
7.66833,0.024
7.67,0.019
7.67167,0.013
7.67333,0.002
7.675,0.009
7.67667,0.014
7.67833,0.025
7.68,0.03
7.68167,0.029
7.68333,0.024
7.685,0.023
7.68667,0.017
7.68833,0.012
7.69,0.012
7.69167,0.017
7.69333,0.022
7.695,0.032
7.69667,0.037
7.69833,0.037
7.7,0.037
7.70167,0.032
7.70333,0.021
7.705,0.015
7.70667,0.01
7.70833,0.011
7.71,0.016
7.71167,0.025
7.71333,0.025
7.715,0.024
7.71667,0.019
7.71833,0.019
7.72,0.015
7.72167,0.011
7.72333,0.011
7.725,0.012
7.72667,0.017
7.72833,0.027
7.73,0.033
7.73167,0.032
7.73333,0.023
7.735,0.018
7.73667,0.008
7.73833,0.008
7.74,0.007
7.74167,0.017
7.74333,0.017
7.745,0.026
7.74667,0.021
7.74833,0.021
7.75,0.011
7.75167,0.006
7.75333,0.006
7.755,0
7.75667,-0.004
7.75833,0.006
7.76,0.01
7.76167,0.015
7.76333,0.014
7.765,0.013
7.76667,0.007
7.76833,0.001
7.77,0.001
7.77167,0
7.77333,0.005
7.775,0.009
7.77667,0.019
7.77833,0.025
7.78,0.025
7.78167,0.021
7.78333,0.015
7.785,0.005
7.78667,0.006
7.78833,0.006
7.79,0.017
7.79167,0.027
7.79333,0.032
7.795,0.037
7.79667,0.036
7.79833,0.026
7.8,0.02
7.80167,0.015
7.80333,0.016
7.805,0.015
7.80667,0.02
7.80833,0.025
7.81,0.029
7.81167,0.028
7.81333,0.027
7.815,0.022
7.81667,0.012
7.81833,0.007
7.82,0.002
7.82167,0.006
7.82333,0.011
7.825,0.021
7.82667,0.026
7.82833,0.026
7.83,0.021
7.83167,0.015
7.83333,0.004
7.835,-0.001
7.83667,-0.001
7.83833,0
7.84,0.01
7.84167,0.021
7.84333,0.026
7.845,0.027
7.84667,0.022
7.84833,0.013
7.85,0.009
7.85167,0.005
7.85333,0.001
7.855,0.002
7.85667,0.012
7.85833,0.022
7.86,0.027
7.86167,0.022
7.86333,0.022
7.865,0.017
7.86667,0.007
7.86833,0.002
7.87,0.007
7.87167,0.012
7.87333,0.022
7.875,0.028
7.87667,0.034
7.87833,0.034
7.88,0.024
7.88167,0.018
7.88333,0.009
7.885,0.004
7.88667,0.009
7.88833,0.015
7.89,0.025
7.89167,0.03
7.89333,0.025
7.895,0.019
7.89667,0.014
7.89833,0.008
7.9,0.003
7.90167,0.008
7.90333,0.018
7.905,0.027
7.90667,0.028
7.90833,0.033
7.91,0.032
7.91167,0.027
7.91333,0.022
7.915,0.013
7.91667,0.013
7.91833,0.013
7.92,0.024
7.92167,0.028
7.92333,0.034
7.925,0.034
7.92667,0.024
7.92833,0.019
7.93,0.009
7.93167,0.003
7.93333,0.004
7.935,0.004
7.93667,0.02
7.93833,0.025
7.94,0.025
7.94167,0.026
7.94333,0.021
7.945,0.011
7.94667,0.007
7.94833,-0.003
7.95,-0.003
7.95167,0.001
7.95333,0.017
7.955,0.026
7.95667,0.025
7.95833,0.024
7.96,0.018
7.96167,0.017
7.96333,0.011
7.965,0.004
7.96667,0.004
7.96833,0.013
7.97,0.017
7.97167,0.025
7.97333,0.029
7.975,0.028
7.97667,0.023
7.97833,0.017
7.98,0.007
7.98167,0.003
7.98333,0
7.985,0.009
7.98667,0.014
7.98833,0.019
7.99,0.018
7.99167,0.008
7.99333,0.003
7.995,-0.001
7.99667,-0.005
7.99833,-0.01
8,0
8.00167,0.011
8.00333,0.017
8.005,0.017
8.00667,0.018
8.00833,0.008
8.01,0.004
8.01167,0
8.01333,0
8.015,0
8.01667,0.004
8.01833,0.01
8.02,0.015
8.02167,0.011
8.02333,0.012
8.025,0.007
8.02667,-0.002
8.02833,-0.006
8.03,-0.01
8.03167,-0.009
8.03333,0.006
8.035,0.012
8.03667,0.018
8.03833,0.019
8.04,0.019
8.04167,0.008
8.04333,0
8.045,-0.005
8.04667,-0.006
8.04833,0.002
8.05,0.007
8.05167,0.016
8.05333,0.025
8.055,0.024
8.05667,0.024
8.05833,0.008
8.06,-0.001
8.06167,-0.002
8.06333,0.002
8.065,0.012
8.06667,0.022
8.06833,0.026
8.07,0.026
8.07167,0.025
8.07333,0.024
8.075,0.018
8.07667,0.007
8.07833,0.001
8.08,0.001
8.08167,0.005
8.08333,0.015
8.085,0.02
8.08667,0.015
8.08833,0.015
8.09,0.011
8.09167,0.002
8.09333,-0.001
8.095,-0.006
8.09667,-0.002
8.09833,0.002
8.1,0.002
8.10167,0.013
8.10333,0.013
8.105,0.008
8.10667,-0.001
8.10833,-0.001
8.11,-0.006
8.11167,-0.007
8.11333,-0.002
8.115,0.001
8.11667,0.016
8.11833,0.022
8.12,0.023
8.12167,0.013
8.12333,0.003
8.125,-0.006
8.12667,-0.011
8.12833,-0.015
8.13,-0.004
8.13167,0.004
8.13333,0.008
8.135,0.007
8.13667,0.007
8.13833,0.002
8.14,-0.003
8.14167,-0.015
8.14333,-0.015
8.145,-0.009
8.14667,-0.009
8.14833,0.005
8.15,0.011
8.15167,0.016
8.15333,0.011
8.155,0.007
8.15667,-0.001
8.15833,-0.012
8.16,-0.006
8.16167,-0.007
8.16333,0.002
8.165,0.007
8.16667,0.012
8.16833,0.013
8.17,0.008
8.17167,0.002
8.17333,-0.007
8.175,-0.007
8.17667,-0.008
8.17833,-0.002
8.18,0.007
8.18167,0.017
8.18333,0.018
8.185,0.013
8.18667,0.009
8.18833,0
8.19,-0.004
8.19167,-0.009
8.19333,-0.008
8.195,-0.004
8.19667,0.005
8.19833,0.011
8.2,0.011
8.20167,0.005
8.20333,-0.004
8.205,-0.01
8.20667,-0.01
8.20833,-0.01
8.21,0
8.21167,0.01
8.21333,0.015
8.215,0.025
8.21667,0.024
8.21833,0.019
8.22,0.009
8.22167,0
8.22333,-0.011
8.225,-0.01
8.22667,0
8.22833,0.016
8.23,0.02
8.23167,0.025
8.23333,0.02
8.235,0.019
8.23667,0.015
8.23833,0.01
8.24,0.005
8.24167,0.005
8.24333,0.006
8.245,0.007
8.24667,0.012
8.24833,0.013
8.25,0.008
8.25167,0.008
8.25333,-0.001
8.255,-0.006
8.25667,-0.012
8.25833,-0.012
8.26,-0.007
8.26167,-0.001
8.26333,0.004
8.265,0.004
8.26667,0
8.26833,-0.005
8.27,-0.019
8.27167,-0.019
8.27333,-0.014
8.275,-0.004
8.27667,0.005
8.27833,0.015
8.28,0.015
8.28167,0.009
8.28333,0.009
8.285,-0.001
8.28667,-0.007
8.28833,-0.008
8.29,-0.008
8.29167,-0.003
8.29333,0.005
8.295,0.01
8.29667,0.009
8.29833,0.009
8.3,0.003
8.30167,0.003
8.30333,0
8.305,-0.005
8.30667,-0.004
8.30833,0.005
8.31,0.005
8.31167,0.011
8.31333,0.011
8.315,0.006
8.31667,0.005
8.31833,0.004
8.32,0
8.32167,0
8.32333,0.003
8.325,0.009
8.32667,0.008
8.32833,0.013
8.33,0.012
8.33167,0.016
8.33333,0.006
8.335,-0.005
8.33667,-0.017
8.33833,-0.017
8.34,-0.012
8.34167,0.002
8.34333,0.006
8.345,0.011
8.34667,0.011
8.34833,0.006
8.35,0.001
8.35167,-0.003
8.35333,-0.007
8.355,-0.002
8.35667,0.007
8.35833,0.013
8.36,0.013
8.36167,0.008
8.36333,0.003
8.365,0
8.36667,-0.005
8.36833,-0.01
8.37,-0.016
8.37167,-0.01
8.37333,0.004
8.375,0.004
8.37667,0.009
8.37833,0.009
8.38,0.004
8.38167,0
8.38333,-0.005
8.385,-0.005
8.38667,-0.005
8.38833,0
8.39,0.006
8.39167,0.011
8.39333,0.011
8.395,0.005
8.39667,0.005
8.39833,0
8.4,-0.009
8.40167,-0.015
8.40333,-0.009
8.405,0.001
8.40667,0.011
8.40833,0.021
8.41,0.016
8.41167,0.017
8.41333,0.011
8.415,0.001
8.41667,-0.008
8.41833,-0.009
8.42,-0.004
8.42167,0.005
8.42333,0.015
8.425,0.019
8.42667,0.029
8.42833,0.018
8.43,0.013
8.43167,0.003
8.43333,0
8.435,-0.005
8.43667,0
8.43833,0
8.44,0.005
8.44167,0.011
8.44333,0.011
8.445,0.006
8.44667,0.001
8.44833,-0.009
8.45,-0.015
8.45167,-0.02
8.45333,-0.004
8.455,0
8.45667,0.004
8.45833,0
8.46,-0.006
8.46167,-0.011
8.46333,-0.011
8.465,-0.017
8.46667,-0.021
8.46833,-0.015
8.47,-0.003
8.47167,0.006
8.47333,0.012
8.475,0.007
8.47667,0.008
8.47833,0.009
8.48,-0.004
8.48167,-0.014
8.48333,-0.014
8.485,-0.013
8.48667,-0.002
8.48833,0.003
8.49,0.003
8.49167,0.009
8.49333,0
8.495,-0.01
8.49667,-0.016
8.49833,-0.021
8.5,-0.021
8.50167,-0.011
8.50333,-0.006
8.505,0
8.50667,0.001
8.50833,0.001
8.51,-0.004
8.51167,-0.009
8.51333,-0.014
8.515,-0.015
8.51667,-0.011
8.51833,-0.001
8.52,0.003
8.52167,0.003
8.52333,0.003
8.525,-0.001
8.52667,-0.007
8.52833,-0.016
8.53,-0.02
8.53167,-0.019
8.53333,-0.019
8.535,-0.009
8.53667,-0.009
8.53833,-0.01
8.54,-0.015
8.54167,-0.015
8.54333,-0.02
8.545,-0.02
8.54667,-0.026
8.54833,-0.021
8.55,-0.016
8.55167,-0.006
8.55333,0.004
8.555,0.009
8.55667,0.004
8.55833,0.004
8.56,-0.005
8.56167,-0.01
8.56333,-0.015
8.565,-0.016
8.56667,-0.011
8.56833,-0.011
8.57,-0.012
8.57167,-0.007
8.57333,-0.012
8.575,-0.018
8.57667,-0.023
8.57833,-0.028
8.58,-0.028
8.58167,-0.028
8.58333,-0.018
8.585,-0.014
8.58667,-0.008
8.58833,-0.008
8.59,-0.008
8.59167,-0.013
8.59333,-0.024
8.595,-0.028
8.59667,-0.033
8.59833,-0.024
8.6,-0.009
8.60167,0.001
8.60333,0.002
8.605,-0.002
8.60667,-0.007
8.60833,-0.016
8.61,-0.026
8.61167,-0.03
8.61333,-0.021
8.615,-0.015
8.61667,-0.009
8.61833,-0.004
8.62,-0.004
8.62167,-0.009
8.62333,-0.014
8.625,-0.015
8.62667,-0.026
8.62833,-0.021
8.63,-0.016
8.63167,-0.011
8.63333,-0.006
8.635,-0.007
8.63667,-0.001
8.63833,-0.007
8.64,-0.013
8.64167,-0.018
8.64333,-0.028
