ChromatogramRI,
X:,Y:
6.93,0.223
6.93167,0.228
6.93333,0.233
6.935,0.243
6.93667,0.248
6.93833,0.248
6.94,0.243
6.94167,0.244
6.94333,0.239
6.945,0.234
6.94667,0.234
6.94833,0.234
6.95,0.249
6.95167,0.254
6.95333,0.259
6.955,0.259
6.95667,0.253
6.95833,0.243
6.96,0.244
6.96167,0.239
6.96333,0.239
6.965,0.245
6.96667,0.246
6.96833,0.256
6.97,0.257
6.97167,0.258
6.97333,0.258
6.975,0.248
6.97667,0.243
6.97833,0.232
6.98,0.232
6.98167,0.237
6.98333,0.243
6.985,0.243
6.98667,0.237
6.98833,0.238
6.99,0.234
6.99167,0.234
6.99333,0.235
6.995,0.235
6.99667,0.235
6.99833,0.25
7,0.255
7.00167,0.26
7.00333,0.259
7.005,0.258
7.00667,0.248
7.00833,0.243
7.01,0.236
7.01167,0.242
7.01333,0.241
7.015,0.252
7.01667,0.258
7.01833,0.259
7.02,0.258
7.02167,0.258
7.02333,0.258
7.025,0.252
7.02667,0.242
7.02833,0.241
7.03,0.247
7.03167,0.257
7.03333,0.262
7.035,0.267
7.03667,0.262
7.03833,0.261
7.04,0.251
7.04167,0.247
7.04333,0.247
7.045,0.252
7.04667,0.262
7.04833,0.271
7.05,0.276
7.05167,0.276
7.05333,0.276
7.055,0.271
7.05667,0.26
7.05833,0.255
7.06,0.255
7.06167,0.26
7.06333,0.265
7.065,0.275
7.06667,0.279
7.06833,0.278
7.07,0.268
7.07167,0.263
7.07333,0.253
7.075,0.248
7.07667,0.249
7.07833,0.255
7.08,0.26
7.08167,0.271
7.08333,0.276
7.085,0.276
7.08667,0.276
7.08833,0.276
7.09,0.271
7.09167,0.261
7.09333,0.266
7.095,0.271
7.09667,0.281
7.09833,0.286
7.1,0.287
7.10167,0.287
7.10333,0.282
7.105,0.278
7.10667,0.264
7.10833,0.26
7.11,0.27
7.11167,0.275
7.11333,0.28
7.115,0.285
7.11667,0.29
7.11833,0.285
7.12,0.28
7.12167,0.276
7.12333,0.267
7.125,0.267
7.12667,0.268
7.12833,0.273
7.13,0.284
7.13167,0.284
7.13333,0.279
7.135,0.274
7.13667,0.265
7.13833,0.26
7.14,0.256
7.14167,0.261
7.14333,0.272
7.145,0.277
7.14667,0.283
7.14833,0.284
7.15,0.283
7.15167,0.278
7.15333,0.277
7.155,0.276
7.15667,0.27
7.15833,0.274
7.16,0.278
7.16167,0.287
7.16333,0.297
7.165,0.297
7.16667,0.302
7.16833,0.291
7.17,0.286
7.17167,0.276
7.17333,0.276
7.175,0.276
7.17667,0.291
7.17833,0.296
7.18,0.301
7.18167,0.302
7.18333,0.296
7.185,0.291
7.18667,0.286
7.18833,0.281
7.19,0.281
7.19167,0.286
7.19333,0.3
7.195,0.31
7.19667,0.315
7.19833,0.315
7.2,0.311
7.20167,0.311
7.20333,0.3
7.205,0.29
7.20667,0.29
7.20833,0.3
7.21,0.309
7.21167,0.32
7.21333,0.32
7.215,0.315
7.21667,0.31
7.21833,0.3
7.22,0.3
7.22167,0.3
7.22333,0.3
7.225,0.31
7.22667,0.32
7.22833,0.324
7.23,0.318
7.23167,0.311
7.23333,0.31
7.235,0.304
7.23667,0.298
7.23833,0.298
7.24,0.302
7.24167,0.313
7.24333,0.319
7.245,0.324
7.24667,0.324
7.24833,0.32
7.25,0.315
7.25167,0.305
7.25333,0.3
7.255,0.306
7.25667,0.318
7.25833,0.333
7.26,0.338
7.26167,0.348
7.26333,0.347
7.265,0.347
7.26667,0.333
7.26833,0.329
7.27,0.324
7.27167,0.329
7.27333,0.334
7.275,0.344
7.27667,0.35
7.27833,0.345
7.28,0.34
7.28167,0.34
7.28333,0.33
7.285,0.325
7.28667,0.32
7.28833,0.33
7.29,0.34
7.29167,0.349
7.29333,0.354
7.295,0.354
7.29667,0.354
7.29833,0.349
7.3,0.343
7.30167,0.338
7.30333,0.342
7.305,0.347
7.30667,0.357
7.30833,0.362
7.31,0.362
7.31167,0.368
7.31333,0.359
7.315,0.355
7.31667,0.346
7.31833,0.346
7.32,0.351
7.32167,0.355
7.32333,0.365
7.325,0.369
7.32667,0.369
7.32833,0.364
7.33,0.355
7.33167,0.345
7.33333,0.336
7.335,0.332
7.33667,0.337
7.33833,0.342
7.34,0.352
7.34167,0.357
7.34333,0.361
7.345,0.356
7.34667,0.356
7.34833,0.346
7.35,0.346
7.35167,0.346
7.35333,0.346
7.355,0.361
7.35667,0.372
7.35833,0.372
7.36,0.371
7.36167,0.371
7.36333,0.372
7.365,0.362
7.36667,0.362
7.36833,0.362
7.37,0.372
7.37167,0.377
7.37333,0.382
7.375,0.385
7.37667,0.379
7.37833,0.373
7.38,0.366
7.38167,0.356
7.38333,0.351
7.385,0.356
7.38667,0.371
7.38833,0.382
7.39,0.382
7.39167,0.381
7.39333,0.376
7.395,0.371
7.39667,0.366
7.39833,0.356
7.4,0.355
7.40167,0.365
7.40333,0.38
7.405,0.379
7.40667,0.384
7.40833,0.385
7.41,0.38
7.41167,0.374
7.41333,0.369
7.415,0.369
7.41667,0.369
7.41833,0.375
7.42,0.385
7.42167,0.391
7.42333,0.397
7.425,0.392
7.42667,0.386
7.42833,0.375
7.43,0.376
7.43167,0.371
7.43333,0.371
7.435,0.382
7.43667,0.393
7.43833,0.393
7.44,0.392
7.44167,0.391
7.44333,0.379
7.445,0.368
7.44667,0.368
7.44833,0.368
7.45,0.372
7.45167,0.388
7.45333,0.398
7.455,0.399
7.45667,0.399
7.45833,0.395
7.46,0.391
7.46167,0.385
7.46333,0.381
7.465,0.375
7.46667,0.38
7.46833,0.392
7.47,0.397
7.47167,0.397
7.47333,0.397
7.475,0.392
7.47667,0.386
7.47833,0.377
7.48,0.377
7.48167,0.377
7.48333,0.387
7.485,0.398
7.48667,0.403
7.48833,0.407
7.49,0.401
7.49167,0.396
7.49333,0.396
7.495,0.391
7.49667,0.395
7.49833,0.4
7.5,0.406
7.50167,0.417
7.50333,0.418
7.505,0.418
7.50667,0.413
7.50833,0.403
7.51,0.394
7.51167,0.394
7.51333,0.395
7.515,0.4
7.51667,0.411
7.51833,0.417
7.52,0.422
7.52167,0.421
7.52333,0.416
7.525,0.405
7.52667,0.406
7.52833,0.401
7.53,0.406
7.53167,0.411
7.53333,0.421
7.535,0.426
7.53667,0.431
7.53833,0.425
7.54,0.42
7.54167,0.416
7.54333,0.415
7.545,0.405
7.54667,0.409
7.54833,0.419
7.55,0.424
7.55167,0.424
7.55333,0.423
7.555,0.418
7.55667,0.412
7.55833,0.407
7.56,0.401
7.56167,0.401
7.56333,0.405
7.565,0.419
7.56667,0.43
7.56833,0.436
7.57,0.436
7.57167,0.43
7.57333,0.424
7.575,0.413
7.57667,0.408
7.57833,0.412
7.58,0.417
7.58167,0.431
7.58333,0.442
7.585,0.441
7.58667,0.436
7.58833,0.43
7.59,0.424
7.59167,0.414
7.59333,0.404
7.595,0.409
7.59667,0.414
7.59833,0.428
7.6,0.434
7.60167,0.44
7.60333,0.435
7.605,0.43
7.60667,0.426
7.60833,0.421
7.61,0.421
7.61167,0.426
7.61333,0.436
7.615,0.447
7.61667,0.447
7.61833,0.441
7.62,0.436
7.62167,0.432
7.62333,0.423
7.625,0.418
7.62667,0.423
7.62833,0.429
7.63,0.434
7.63167,0.44
7.63333,0.44
7.635,0.436
7.63667,0.431
7.63833,0.427
7.64,0.417
7.64167,0.418
7.64333,0.422
7.645,0.432
7.64667,0.441
7.64833,0.445
7.65,0.44
7.65167,0.435
7.65333,0.43
7.655,0.425
7.65667,0.415
7.65833,0.415
7.66,0.42
7.66167,0.43
7.66333,0.439
7.665,0.44
7.66667,0.439
7.66833,0.434
7.67,0.429
7.67167,0.424
7.67333,0.424
7.675,0.424
7.67667,0.435
7.67833,0.445
7.68,0.45
7.68167,0.444
7.68333,0.444
7.685,0.443
7.68667,0.438
7.68833,0.438
7.69,0.432
7.69167,0.433
7.69333,0.438
7.695,0.448
7.69667,0.449
7.69833,0.449
7.7,0.444
7.70167,0.439
7.70333,0.428
7.705,0.428
7.70667,0.428
7.70833,0.428
7.71,0.439
7.71167,0.444
7.71333,0.449
7.715,0.443
7.71667,0.444
7.71833,0.434
7.72,0.43
7.72167,0.43
7.72333,0.429
7.725,0.434
7.72667,0.443
7.72833,0.448
7.73,0.453
7.73167,0.449
7.73333,0.44
7.735,0.437
7.73667,0.432
7.73833,0.432
7.74,0.433
7.74167,0.443
7.74333,0.448
7.745,0.458
7.74667,0.463
7.74833,0.463
7.75,0.453
7.75167,0.448
7.75333,0.448
7.755,0.443
7.75667,0.454
7.75833,0.463
7.76,0.469
7.76167,0.473
7.76333,0.473
7.765,0.467
7.76667,0.461
7.76833,0.456
7.77,0.451
7.77167,0.446
7.77333,0.446
7.775,0.452
7.77667,0.462
7.77833,0.468
7.78,0.463
7.78167,0.458
7.78333,0.454
7.785,0.45
7.78667,0.445
7.78833,0.446
7.79,0.451
7.79167,0.456
7.79333,0.466
7.795,0.466
7.79667,0.462
7.79833,0.458
7.8,0.453
7.80167,0.448
7.80333,0.443
7.805,0.449
7.80667,0.459
7.80833,0.469
7.81,0.475
7.81167,0.475
7.81333,0.468
7.815,0.462
7.81667,0.451
7.81833,0.45
7.82,0.449
7.82167,0.454
7.82333,0.459
7.825,0.469
7.82667,0.48
7.82833,0.48
7.83,0.475
7.83167,0.469
7.83333,0.461
7.835,0.46
7.83667,0.458
7.83833,0.468
7.84,0.481
7.84167,0.485
7.84333,0.479
7.845,0.479
7.84667,0.474
7.84833,0.469
7.85,0.459
7.85167,0.454
7.85333,0.461
7.855,0.467
7.85667,0.472
7.85833,0.481
7.86,0.487
7.86167,0.481
7.86333,0.481
7.865,0.471
7.86667,0.471
7.86833,0.47
7.87,0.475
7.87167,0.48
7.87333,0.495
7.875,0.494
7.87667,0.499
7.87833,0.494
7.88,0.489
7.88167,0.489
7.88333,0.488
7.885,0.489
7.88667,0.499
7.88833,0.503
7.89,0.513
7.89167,0.513
7.89333,0.508
7.895,0.503
7.89667,0.493
7.89833,0.479
7.9,0.475
7.90167,0.476
7.90333,0.482
7.905,0.487
7.90667,0.493
7.90833,0.494
7.91,0.489
7.91167,0.485
7.91333,0.48
7.915,0.476
7.91667,0.471
7.91833,0.476
7.92,0.487
7.92167,0.498
7.92333,0.508
7.925,0.508
7.92667,0.503
7.92833,0.493
7.93,0.489
7.93167,0.484
7.93333,0.484
7.935,0.494
7.93667,0.503
7.93833,0.508
7.94,0.516
7.94167,0.517
7.94333,0.512
7.945,0.507
7.94667,0.496
7.94833,0.492
7.95,0.493
7.95167,0.498
7.95333,0.503
7.955,0.513
7.95667,0.513
7.95833,0.513
7.96,0.508
7.96167,0.503
7.96333,0.498
7.965,0.498
7.96667,0.498
7.96833,0.503
7.97,0.508
7.97167,0.513
7.97333,0.512
7.975,0.507
7.97667,0.502
7.97833,0.497
7.98,0.491
7.98167,0.481
7.98333,0.49
7.985,0.499
7.98667,0.509
7.98833,0.509
7.99,0.508
7.99167,0.509
7.99333,0.499
7.995,0.494
7.99667,0.49
7.99833,0.49
8,0.501
8.00167,0.511
8.00333,0.516
8.005,0.517
8.00667,0.512
8.00833,0.508
8.01,0.498
8.01167,0.499
8.01333,0.494
8.015,0.489
8.01667,0.503
8.01833,0.513
8.02,0.517
8.02167,0.518
8.02333,0.513
8.025,0.509
8.02667,0.504
8.02833,0.499
8.03,0.499
8.03167,0.504
8.03333,0.509
8.035,0.519
8.03667,0.519
8.03833,0.519
8.04,0.52
8.04167,0.519
8.04333,0.515
8.045,0.505
8.04667,0.505
8.04833,0.509
8.05,0.518
8.05167,0.518
8.05333,0.523
8.055,0.523
8.05667,0.519
8.05833,0.519
8.06,0.514
8.06167,0.509
8.06333,0.514
8.065,0.52
8.06667,0.53
8.06833,0.535
8.07,0.535
8.07167,0.531
8.07333,0.527
8.075,0.522
8.07667,0.517
8.07833,0.512
8.08,0.512
8.08167,0.527
8.08333,0.532
8.085,0.532
8.08667,0.532
8.08833,0.532
