ChromatogramRI,
X:,Y:
6.73,-0.275
6.73167,-0.285
6.73333,-0.285
6.735,-0.28
6.73667,-0.269
6.73833,-0.264
6.74,-0.264
6.74167,-0.264
6.74333,-0.27
6.745,-0.276
6.74667,-0.282
6.74833,-0.281
6.75,-0.281
6.75167,-0.276
6.75333,-0.269
6.755,-0.263
6.75667,-0.269
6.75833,-0.274
6.76,-0.285
6.76167,-0.29
6.76333,-0.294
6.765,-0.295
6.76667,-0.29
6.76833,-0.28
6.77,-0.276
6.77167,-0.276
6.77333,-0.277
6.775,-0.278
6.77667,-0.279
6.77833,-0.29
6.78,-0.295
6.78167,-0.29
6.78333,-0.285
6.785,-0.279
6.78667,-0.279
6.78833,-0.28
6.79,-0.286
6.79167,-0.292
6.79333,-0.297
6.795,-0.307
6.79667,-0.307
6.79833,-0.302
6.8,-0.292
6.80167,-0.286
6.80333,-0.281
6.805,-0.275
6.80667,-0.286
6.80833,-0.295
6.81,-0.306
6.81167,-0.316
6.81333,-0.316
6.815,-0.316
6.81667,-0.306
6.81833,-0.291
6.82,-0.291
6.82167,-0.291
6.82333,-0.296
6.825,-0.302
6.82667,-0.313
6.82833,-0.313
6.83,-0.314
6.83167,-0.304
6.83333,-0.3
6.835,-0.296
6.83667,-0.292
6.83833,-0.297
6.84,-0.297
6.84167,-0.302
6.84333,-0.316
6.845,-0.32
6.84667,-0.32
6.84833,-0.305
6.85,-0.299
6.85167,-0.295
6.85333,-0.29
6.855,-0.301
6.85667,-0.306
6.85833,-0.307
6.86,-0.312
6.86167,-0.308
6.86333,-0.304
6.865,-0.304
6.86667,-0.3
6.86833,-0.3
6.87,-0.294
6.87167,-0.304
6.87333,-0.309
6.875,-0.314
6.87667,-0.323
6.87833,-0.323
6.88,-0.312
6.88167,-0.307
6.88333,-0.296
6.885,-0.291
6.88667,-0.296
6.88833,-0.306
6.89,-0.316
6.89167,-0.321
6.89333,-0.331
6.895,-0.331
6.89667,-0.326
6.89833,-0.316
6.9,-0.311
6.90167,-0.312
6.90333,-0.316
6.905,-0.316
6.90667,-0.32
6.90833,-0.33
6.91,-0.329
6.91167,-0.324
6.91333,-0.314
6.915,-0.309
6.91667,-0.299
6.91833,-0.304
6.92,-0.314
6.92167,-0.324
6.92333,-0.329
6.925,-0.334
6.92667,-0.329
6.92833,-0.32
6.93,-0.315
6.93167,-0.315
6.93333,-0.314
6.935,-0.313
6.93667,-0.322
6.93833,-0.331
6.94,-0.336
6.94167,-0.345
6.94333,-0.345
6.945,-0.335
6.94667,-0.325
6.94833,-0.32
6.95,-0.319
6.95167,-0.324
6.95333,-0.329
6.955,-0.338
