,SMILES LIST,Ratio List,Biodegradability
120,"['C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
121,"['C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
122,"['C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
123,"['C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
124,"['C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
125,"['C(=O)COCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
126,"['C(=O)COCC(=O)', 'OCCCO']","[1, 1]",1
127,"['C(=O)COCC(=O)', 'OCCCCCCO']","[1, 1]",1
128,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
129,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
130,"['C(=O)CCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
131,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
132,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
133,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
134,"['C(=O)CCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
135,"['C(=O)CN(C)CC(=O)', 'OC(C)C(C)O']","[1, 1]",1
136,"['C(=O)CCCCCC(=O)', 'OCCCO']","[1, 1]",1
137,"['C(=O)CCC(=O)', 'OCCCCCCCO']","[1, 1]",0
138,"['C(=O)CCCCC(=O)', 'OCCCCO']","[1, 1]",1
139,"['C(=O)CCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
140,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCO']","[1, 1]",0
141,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCO']","[1, 1]",1
142,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCO']","[1, 1]",1
143,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
144,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
145,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
146,"['C(=O)CCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
147,"['C(=O)CCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
148,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
149,"['C(=O)CCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
150,"['C(=O)CCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
151,"['C(=O)CCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",0
152,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
153,"['C(=O)CCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
154,"['C(=O)CCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
155,"['C(=O)CCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
156,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
157,"['C(=O)CCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
158,"['C(=O)CC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
159,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
160,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
161,"['C(=O)c1nc2ccccc2c(c1)C(=O)', 'OCCOCCOCCO']","[1, 1]",0
162,"['C(=O)CCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
163,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
164,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
165,"['C(=O)CN(C)CC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",1
166,"['C(=O)COCCOCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
167,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",1
168,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
169,"['C(=O)CCCC(=O)', 'OCC(C)O']","[1, 1]",0
170,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
171,"['C(=O)COCCOCC(=O)', 'OCCCO']","[1, 1]",1
172,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
173,"['C(=O)CCCCO', 'C(=O)CCCCC(CCCC)O']","[2, 1]",0
174,"['C(=O)CCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
175,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
176,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
177,"['C(=O)CCCCO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
178,"['C(=O)CCCCCO', 'C(=O)CCCCO']","[2, 1]",1
179,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)CC(C)O']","[2, 1]",0
180,"['C(=O)CCCCO', 'C(=O)CCCCCCCCCCCCCCO']","[2, 1]",0
181,"['C(=O)CCO', 'C(=O)CCCCO']","[2, 1]",1
182,"['C(=O)CCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
183,"['C(=O)C(C)OC(=O)C(C)O', 'C(=O)CCO']","[2, 1]",1
184,"['C(=O)CCCCCCCCCCCCCCCO', 'C(=O)CCCCCCCCCCCCCCCO']","[2, 1]",1
185,"['C(=O)CCCCCCCCCCCCCCO', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",1
186,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)C(C)OC(=O)C(C)O']","[2, 1]",0
187,"['C(=O)COC(=O)CO', 'C(=O)C=CCC(CCCCC)O']","[2, 1]",0
188,"['C(=O)CCCC(CCCC)O', 'C(=O)COC(=O)CO']","[2, 1]",1
189,"['C(=O)CCCC(CCCCCCC)O', 'C(=O)COC(=O)CO']","[2, 1]",0
190,"['C(=O)CCCCC(CCCC)O', 'C(=O)C=Cc(cccc1)c1O']","[2, 1]",0
191,"['C(=O)CCCCC(CCCC)O', 'C(=O)CC(C)O']","[2, 1]",0
192,"['C(=O)COC(=O)CO', 'C(=O)COC(=O)CO']","[2, 1]",0
193,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
194,"['C(=O)c(cc1)ccc1C(=O)', ' Oc1ccc(cc1)C2(CCCCC2)c3ccc(O)cc3']","[1, 1]",1
195,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
196,"['C(=O)c(cccc1)c1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
197,"['C(=O)CC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
198,"['C(=O)CCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
199,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",0
200,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
201,"['C(=O)c(cc1)ccc1C(=O)', 'OCCC(C)CCO']","[1, 1]",1
202,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
203,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
204,"['C(=O)CCCCCCCC(=O)', 'OCC=CCO']","[1, 1]",1
205,"['C(=O)CCCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
206,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
207,"['C(=O)CCCCCCCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",1
208,"['C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
209,"['C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
210,"['C(=O)COCC(=O)', 'OCCCCCO']","[1, 1]",1
211,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
212,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
213,"['C(=O)CCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
214,"['C(=O)CN(C)CC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
215,"['C(=O)COCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
216,"['C(=O)COCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
217,"['C(=O)c(cc1)ccc1C(=O)', 'OCCO']","[1, 1]",0
218,"['C(=O)c1ccc(cc1)C(=O)', 'OCC=CCO']","[1, 1]",0
219,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)CO']","[1, 1]",0
220,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
221,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
222,"['C(=O)CCCCCCCC(=O)', 'OCCO']","[1, 1]",0
223,"['C(=O)CCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
224,"['C(=O)CCCCCC(=O)', 'OCCCCO']","[1, 1]",0
225,"['C(=O)CCCC(=O)', 'OCCO']","[1, 1]",1
226,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
227,"['C(=O)CCCC(=O)', 'OCCCO']","[1, 1]",1
228,"['C(=O)CCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
229,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
230,"['C(=O)c(ccc1)cc1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
231,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCO']","[1, 1]",0
232,"['C(=O)CN(C)CC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
233,"['C(=O)CN(C)CC(=O)', 'OCCCCCO']","[1, 1]",1
234,"['C(=O)c(ccc1c2)cc1ccc2C(=O)', 'OCCCCCCO']","[1, 1]",0
235,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
236,"['C(=O)CCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",1
237,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
238,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
239,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
240,"['C(=O)CCCC(=O)', 'OCCOCCO']","[1, 1]",1
