,SMILES LIST,Ratio List,Biodegradability
216,"['C(=O)CCC(=O)', 'OCC=CCO']","[1, 1]",1
217,"['C(=O)CCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
218,"['C(=O)CCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
219,"['C(=O)COCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
220,"['C(=O)COCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
221,"['C(=O)COCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
222,"['C(=O)C(CC1)CCC1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
223,"['C(=O)C(CC1)CCC1C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
224,"['C(=O)CCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
225,"['C(=O)CCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
226,"['C(=O)CCC(=O)', 'OCCCCCCO']","[1, 1]",0
227,"['C(=O)CCC(=O)', 'OC(C)CCC(C)O']","[1, 1]",1
228,"['C(=O)CCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
229,"['C(=O)CCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
230,"['C(=O)CCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
231,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
232,"['C(=O)CSCC(=O)', 'OCCCCCO']","[1, 1]",1
233,"['C(=O)CCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
234,"['C(=O)CCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
235,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
236,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",0
237,"['C(=O)CCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
238,"['C(=O)CCCCCCCCC(=O)', 'OCCSCCO']","[1, 1]",1
239,"['C(=O)CCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
240,"['C(=O)CSCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
241,"['C(=O)CCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
242,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
