Name,SMILES_List,Ratio_List,Biodegradability
DW_7-1,"['C(=O)CCCCC(=O)', 'OCCO']","[1, 1]",1
DW_7-10,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_7-11,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
DW_7-2,"['C(=O)CCCCC(=O)', 'OCCCO']","[1, 1]",1
DW_7-3,"['C(=O)CCCCC(=O)', 'OCCCCO']","[1, 1]",1
DW_7-4,"['C(=O)CCCCC(=O)', 'OCCCCCO']","[1, 1]",1
DW_7-5,"['C(=O)CCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
DW_7-6,"['C(=O)CCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
DW_7-7,"['C(=O)CCCCC(=O)', 'OCCCCCCCO']","[1, 1]",0
DW_7-8,"['C(=O)CCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
DW_7-9,"['C(=O)CCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
DW_8-1,"['C(=O)c(ccc1)cc1C(=O)', 'OCCO']","[1, 1]",0
DW_8-10,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_8-11,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)O']","[1, 1]",0
DW_8-2,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCO']","[1, 1]",0
DW_8-3,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCO']","[1, 1]",0
DW_8-4,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCO']","[1, 1]",1
DW_8-5,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCO']","[1, 1]",0
DW_8-6,"['C(=O)c(ccc1)cc1C(=O)', 'OCCC(C)CCO']","[1, 1]",0
DW_8-8,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
DW_8-9,"['C(=O)c(ccc1)cc1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
DW_9-3,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
R_1,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
R_10,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(C)O']","[1, 1]",0
R_103,"['C(=O)CSCC(=O)', 'OCCCCCO']","[1, 1]",1
R_104,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCO']","[1, 1]",0
R_107,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCO']","[1, 1]",0
R_11,"['C(=O)c(ccc1)cc1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
R_113,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCO']","[1, 1]",0
R_116,"['C(=O)CCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
R_118,"['C(=O)CSCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
R_119,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
R_12,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
R_124,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
R_126,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
R_127,"['C(=O)CCCCCCCCC(=O)', 'OCCCCO']","[1, 1]",1
R_128,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCO']","[1, 1]",0
R_13,"['C(=O)CCCC(=O)', 'OCC(C)CO']","[1, 1]",1
R_132,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
R_134,"['C(=O)CCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
R_135,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCO']","[1, 1]",0
R_140,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCO']","[1, 1]",0
R_142,"['C(=O)CCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
R_143,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
R_145,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCO']","[1, 1]",0
R_146,"['C(=O)CCCCCCCCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
R_148,"['C(=O)CCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
R_149,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
R_15,"['C(=O)CSCC(=O)', 'OCC(C)CO']","[1, 1]",1
R_150,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCO']","[1, 1]",1
R_153,"['C(=O)CCCC(=O)', 'OCCOCCO']","[1, 1]",1
R_154,"['C(=O)CSCC(=O)', 'OCCOCCO']","[1, 1]",1
R_157,"['C(=O)c(ccc1)cc1C(=O)', 'OCCOCCO']","[1, 1]",1
R_158,"['C(=O)CCCCCCC(=O)', 'OCCOCCO']","[1, 1]",1
R_159,"['C(=O)CCCCC(=O)', 'OCCOCCO']","[1, 1]",1
R_16,"['C(=O)CCCCCCCC(=O)', 'OCC(C)CO']","[1, 1]",0
R_162,"['C(=O)CCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",0
R_163,"['C(=O)CCCCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
R_164,"['C(=O)C(CC1)CCC1C(=O)', 'OCCOCCOCCO']","[1, 1]",1
R_168,"['C(=O)CSCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
R_17,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)CO']","[1, 1]",0
R_172,"['C(=O)CCCCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",1
R_173,"['C(=O)CCCCC(=O)', 'OCCOCCOCCO']","[1, 1]",0
R_176,"['C(=O)CCCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_177,"['C(=O)CCCCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_178,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_180,"['C(=O)CCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_181,"['C(=O)CSCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_185,"['C(=O)CCCCCCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
