Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
TOA25_AZA25_DMD50_P,,,,,,,T1_H2,9,"solid (elastic, clear)",Y,N,NA,20231018,Y,Y,0.9:1.1:2,0.9,1.1,2
TOA25_AZA25_NND50_P,,,,,,,T2_J7,21,,Y,Y,Distributed,20231115,,,1.0:1.0:2,1,1,2
TOA25_AZA25_OTD50_P,,,,,,,T3_C6,24,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
TOA25_AZA25_TEG50_P,,,,,,,T2_I4,20,,Y,Y,Clear Zone,20231115,,,1.0:1.0:2,1,1,2
TOA25_CCD25_BND50_P,,,,,,,T2_A5,13,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.1:0.9:2,1.1,0.9,2
TOA25_EBA25_DMD50_P,,,,,,,T1_H1,9,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,P,,1.1:0.9:2,1.1,0.9,2
TOA25_EBA25_PPD50_P,,,,,,,T1_J3,11,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,1.1:0.9:2,1.1,0.9,2
TOA25_SBA25_BED50_P,,,,,,,T3_A4,22,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
TOA25_SBA25_DCD50_P,,,,,,,T3_C3,24,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
TOA25_SBA25_NND50_P,,,,,,,T2_J10,22,,Y,Y,Distributed,20231209,P,,1.0:1.0:2,1,1,2
TOA25_SBA25_TPG50_P,,,,,,,T2_G9,19,viscous,Y,Y,Clear Zone,20231115,P,,0.6:1.4:2,0.6,1.4,2
TOA50_BED25_BPA25_P,,,,,,,T3_A2,22,,Y,Y,Color Interference,20231209,P,,2:1.1:0.9,2,1.1,0.9
TOA50_BND25_GGE25_P,,,,,,,T2_A1,12,"solid (elastic, clear)",Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
TOA50_BTD25_BND25_P,,,,,,,T1_B9,3,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:0.9:1.1,2,0.9,1.1
TOA50_BTD25_ETG25_P,,,,,,,T1_C5,3,viscous,Y,Y,Clear Zone,20230910,Y,Y,2:0.9:1.1,2,0.9,1.1
TOA50_BTD25_PPD25_P,,,,,,,T1_B8,3,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
TOA50_CHD25_DCD25_P,,,,,,,T3_A9,22,,Y,Y,Clear Zone,20231209,P,,2:1.0:1.0,2,1,1
TOA50_CHM25_CHD25_P,,,,,,,T2_H7,20,"solid (elastic, clear)",Y,Y,Clear Zone,20231115,P,,2:1.0:1.0,2,1,1
TOA50_DMD25_DEG25_P,,,,,,,T1_F8,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,P,Y,2:1.0:1.0,2,1,1
TOA50_DMD25_PPD25_P,,,,,,,T1_G1,8,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,Y,Y,2:1.0:1.0,2,1,1
TOA50_DPD25_HND25_P,,,,,,,T2_C10,15,viscous,Y,Y,Clear Zone,20231115,Y,Y,2:1.0:1.0,2,1,1
TOA50_ETG25_MPD25_P,,,,,,,T1_E5,6,viscous,Y,Y,Clear Zone,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
TOA50_HND25_BED25_P,,,,,,,T2_F8,18,viscous,Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
TOA50_HND25_DCD25_P,,,,,,,T2_G1,18,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,P,Y,2:1.0:1.0,2,1,1
TOA50_MPD25_BPA25_P,,,,,,,T2_I10,21,,Y,Y,Color Interference,20231115,,,2:1.3:0.7,2,1.3,0.7
TOA50_NND25_CHD25_P,,,,,,,T2_J6,21,,Y,Y,Clear Zone,20231115,,,2:1.1:0.9,2,1.1,0.9
TOA50_PPD25_BPA25_P,,,,,,,T1_I8,11,"solid (elastic, clear)",Y,Y,Color Interference,20231018,Y,Y,2:1.3:0.7,2,1.3,0.7
TOA50_PPD25_CHD25_P,,,,,,,T1_I3,10,"solid (elastic, opaque)",Y,Y,Distributed,20231018,Y,Y,2:1.0:1.0,2,1,1
TOA50_TPD25_OTD25_P,,,,,,,T2_B6,14,viscous,Y,Y,Clear Zone,20231115,Y,Y,1:0.9:1.1,2,0.9,1.1
TOA50_TPG25_CHM25_P,,,,,,,T2_G6,19,viscous,Y,Y,Clear Zone,20231115,P,,2:1.6:0.4,2,1.6,0.4
