Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
8,128,2,1,64,0.7510256410256411,0.06194921675805293,0.9230769230769231
4,4,2,1,8,0.7664102564102564,0.0467845088630788,0.8974358974358975
4,1,2,1,8,0.6951282051282052,0.1061152847092029,0.8461538461538461
4,16,2,1,256,0.7507692307692307,0.0726951340290778,0.8717948717948718
4,128,2,1,512,0.7461538461538462,0.07649023520375206,0.8717948717948718
8,16,2,1,64,0.7410256410256411,0.05401225906090754,0.9230769230769231
4,4,2,1,16,0.7714102564102564,0.06203803630610779,0.8461538461538461
8,2,2,1,256,0.7921794871794872,0.09002373855974602,0.8974358974358975
4,1,2,1,16,0.6951282051282052,0.12887109083852707,0.8974358974358975
4,256,2,1,2,0.5933333333333334,0.0669208664533261,0.5384615384615384
4,1,2,1,32,0.7155128205128205,0.09344597316835364,0.8461538461538461
4,4,2,1,32,0.7615384615384615,0.08564735889372234,0.8461538461538461
4,16,2,1,512,0.7408974358974358,0.08497630872219601,0.8461538461538461
16,2,2,1,32,0.8020512820512821,0.09534393949359919,0.9743589743589743
4,1,2,1,64,0.726025641025641,0.11801670281501153,0.8974358974358975
8,128,2,1,128,0.7612820512820513,0.05027962572112232,0.9487179487179487
4,256,2,1,4,0.7665384615384615,0.09144576215535398,0.8974358974358975
8,2,2,1,512,0.7511538461538462,0.07939862726668713,0.9230769230769231
4,32,2,1,2,0.6492307692307693,0.11777467650017377,0.9487179487179487
4,4,2,1,64,0.7356410256410257,0.08022056215853202,0.8974358974358975
8,16,2,1,128,0.7714102564102564,0.04846357342084824,0.9487179487179487
4,256,2,1,8,0.791923076923077,0.04287805131627521,0.9230769230769231
4,32,2,1,4,0.8019230769230768,0.09735489210325565,0.8717948717948718
4,4,2,1,128,0.756025641025641,0.07340636492547044,0.9487179487179487
8,4,2,1,2,0.7415384615384616,0.0867015557144946,0.8461538461538461
4,256,2,1,16,0.7565384615384616,0.0728069687657349,0.9230769230769231
4,32,2,1,8,0.7664102564102564,0.061373443277825485,0.8974358974358975
4,4,2,1,256,0.7562820512820513,0.06084329577174609,0.8717948717948718
16,2,2,1,64,0.7715384615384615,0.08549811506202022,0.9487179487179487
8,128,2,1,256,0.7412820512820513,0.055139533719734304,0.8974358974358975
8,4,2,1,4,0.782051282051282,0.08688203402861477,0.9487179487179487
4,4,2,1,512,0.7765384615384614,0.07352270689158112,0.9487179487179487
4,32,2,1,16,0.7462820512820513,0.031057411154822814,0.9230769230769231
4,256,2,1,32,0.7515384615384615,0.06685451837549153,0.9487179487179487
8,16,2,1,256,0.7970512820512821,0.052563477169512866,0.8974358974358975
4,8,2,1,2,0.7521794871794872,0.09991251926354588,0.8461538461538461
16,16,2,1,32,0.7817948717948718,0.05475664889573319,0.9487179487179487
4,32,2,1,32,0.7871794871794872,0.0532645636512672,0.8717948717948718
4,256,2,1,64,0.7661538461538462,0.04501880679398891,0.8717948717948718
8,4,2,1,8,0.8024358974358975,0.0811189012137263,0.9487179487179487
4,8,2,1,4,0.801923076923077,0.05831008271490955,0.8974358974358975
8,128,2,1,512,0.7661538461538461,0.07335238232062033,0.9230769230769231
16,2,2,1,128,0.7866666666666665,0.08197051313131556,0.9230769230769231
4,8,2,1,8,0.7512820512820512,0.12087778887044995,0.9487179487179487
4,32,2,1,64,0.7510256410256411,0.061949216758052934,0.8461538461538461
8,16,2,1,512,0.7561538461538462,0.052438248332981406,0.9487179487179487
4,256,2,1,128,0.7412820512820513,0.03225473885849515,0.8461538461538461
8,256,2,1,2,0.7303846153846154,0.11469996305715315,0.8461538461538461
8,4,2,1,16,0.7766666666666666,0.06793734786341016,1.0
4,8,2,1,16,0.7766666666666666,0.09108936014643486,0.8717948717948718
4,32,2,1,128,0.7662820512820512,0.04503559845505696,0.8974358974358975
8,32,2,1,2,0.7307692307692308,0.08656362407207648,0.9230769230769231
4,256,2,1,256,0.7356410256410257,0.040415332233608166,0.8974358974358975
16,2,2,1,256,0.787051282051282,0.09118656775022876,0.9230769230769231
8,256,2,1,4,0.7714102564102564,0.0899207043474886,1.0
4,8,2,1,32,0.7715384615384615,0.08707818397806545,0.9230769230769231
8,4,2,1,32,0.8017948717948717,0.07051678310544078,0.8974358974358975
4,32,2,1,256,0.7308974358974358,0.03508794248864967,0.9230769230769231
