Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
4,256,2,1,2,0.6152960800667222,0.04091663897705348,0.6181818181818182
16,2,2,1,32,0.7088073394495413,0.027262375194654322,0.7
4,1,2,1,32,0.62814011676397,0.03663120906128657,0.6454545454545455
4,4,2,1,32,0.6958965804837366,0.02286968412522833,0.6636363636363637
4,16,2,1,512,0.6649207673060884,0.0469941520618442,0.7
8,128,2,1,128,0.6831693077564637,0.010354642593930338,0.6909090909090909
8,2,2,1,512,0.6849541284403668,0.0414597702532069,0.7181818181818181
4,256,2,1,4,0.6448040033361135,0.047302112194982315,0.6454545454545455
4,1,2,1,64,0.62837364470392,0.06218645185801491,0.6636363636363637
4,32,2,1,2,0.675746455379483,0.02311618487917309,0.6454545454545455
4,4,2,1,64,0.6793661384487073,0.0546800491034749,0.7
8,16,2,1,128,0.6959633027522936,0.02051110255043247,0.7363636363636363
4,256,2,1,8,0.7033194328607173,0.029667897466885557,0.6454545454545455
8,4,2,1,2,0.6392827356130109,0.030359090447374972,0.6272727272727273
4,32,2,1,4,0.7088240200166805,0.036123130559730515,0.6636363636363637
4,4,2,1,128,0.6794829024186823,0.011663283473837088,0.7
16,2,2,1,64,0.6775979983319432,0.030902460280080576,0.7
4,256,2,1,16,0.6958465387823186,0.03983137814505213,0.7636363636363637
4,32,2,1,8,0.6977481234361969,0.01820857921467249,0.7454545454545455
8,128,2,1,256,0.7124603836530442,0.02354015155634765,0.7454545454545455
4,4,2,1,256,0.6794328607172644,0.03572405841842295,0.6727272727272727
8,4,2,1,4,0.6886071726438698,0.025698339640215458,0.7181818181818181
8,16,2,1,256,0.6812677231025855,0.022657687813996033,0.7
4,4,2,1,512,0.6886071726438698,0.0137500496011686,0.7363636363636363
4,32,2,1,16,0.6886905754795662,0.03232492499089889,0.7454545454545455
4,256,2,1,32,0.6941284403669725,0.03881764020578176,0.6545454545454545
16,16,2,1,32,0.6977981651376147,0.02784883503839147,0.7272727272727273
4,8,2,1,2,0.5988990825688074,0.021227383286575495,0.6181818181818182
16,2,2,1,128,0.6977648040033361,0.044792972682927756,0.6818181818181818
8,4,2,1,8,0.7362802335279399,0.01844240194973845,0.7272727272727273
4,32,2,1,32,0.6886071726438698,0.04554587850675066,0.8090909090909091
4,256,2,1,64,0.6739449541284405,0.02044534059036198,0.6636363636363637
8,128,2,1,512,0.6995829858215179,0.03292204790518444,0.7272727272727273
4,8,2,1,4,0.6483903252710592,0.0171011530271236,0.6636363636363637
8,16,2,1,512,0.7033361134278565,0.01908011905631868,0.7090909090909091
4,8,2,1,8,0.6812677231025854,0.020306876123237616,0.6909090909090909
4,32,2,1,64,0.6446705587989993,0.024427869062243278,0.6909090909090909
4,256,2,1,128,0.6776480400333611,0.024275813394130298,0.6181818181818182
8,4,2,1,16,0.712443703085905,0.029440534715683715,0.7090909090909091
8,256,2,1,2,0.6355129274395329,0.037032376799438646,0.6636363636363637
4,8,2,1,16,0.6684403669724771,0.030919472886061436,0.6727272727272727
16,2,2,1,256,0.692276897414512,0.021000403429477007,0.7090909090909091
8,32,2,1,2,0.6575646371976648,0.04156429164246164,0.6454545454545455
4,32,2,1,128,0.7032860717264386,0.009622475436894817,0.6636363636363637
4,256,2,1,256,0.6996497080900751,0.026632258478294837,0.6636363636363637
8,256,2,1,4,0.677698081734779,0.02207977883978725,0.7363636363636363
8,4,2,1,32,0.7069224353628023,0.024325048639198956,0.7090909090909091
4,8,2,1,32,0.6776313594662218,0.02709708715980038,0.7
16,16,2,1,64,0.7142952460383654,0.027339525870801736,0.7363636363636363
4,32,2,1,256,0.677698081734779,0.024943645133311324,0.7363636363636363
8,32,2,1,4,0.6904587155963302,0.007511739262553645,0.6636363636363637
4,256,2,1,512,0.6977981651376147,0.025315781917074755,0.7090909090909091
4,8,2,1,64,0.6776146788990826,0.034860453833505826,0.6363636363636364
8,256,2,1,8,0.7069557964970808,0.03385002905891814,0.7272727272727273
16,2,2,1,512,0.7033027522935781,0.03824972982251858,0.7454545454545455
8,1,2,1,2,0.6613511259382818,0.05034220586895002,0.6272727272727273
8,4,2,1,64,0.6959966638865722,0.021607612897029234,0.7181818181818181
4,32,2,1,512,0.6794829024186821,0.02531877124488898,0.6818181818181818
8,32,2,1,8,0.7014345287739783,0.026002452207040196,0.6818181818181818
4,8,2,1,128,0.6849374478732277,0.02118613272342245,0.7
4,64,2,1,2,0.6190825688073395,0.029417370750577716,0.6909090909090909
8,1,2,1,4,0.6739449541284405,0.016832799913658287,0.6181818181818182
8,4,2,1,128,0.7142452043369474,0.03892668297820878,0.7090909090909091
8,256,2,1,16,0.7216013344453712,0.021506937729823115,0.7090909090909091
4,64,2,1,4,0.6959633027522937,0.050080652063800295,0.6272727272727273
8,1,2,1,8,0.6356630525437865,0.063534473766801,0.6363636363636364
16,4,2,1,2,0.6667055879899916,0.05245539515723339,0.6545454545454545
8,32,2,1,16,0.7033361134278564,0.028903144109812148,0.7181818181818181
4,64,2,1,8,0.677698081734779,0.05107396809183372,0.6454545454545455
8,1,2,1,16,0.6666055045871561,0.04289655543839252,0.6272727272727273
16,16,2,1,128,0.7380650542118432,0.029021483294178092,0.7454545454545455
8,4,2,1,256,0.6812677231025854,0.039459523675876254,0.6727272727272727
4,64,2,1,16,0.7161134278565472,0.01010302721100989,0.6727272727272727
8,256,2,1,32,0.703369474562135,0.029068519438690425,0.7
8,1,2,1,32,0.6667389491242702,0.046033119088017306,0.6727272727272727
16,128,2,1,64,0.7198331943286072,0.030476012434349532,0.7090909090909091
8,32,2,1,32,0.6959466221851542,0.025807678403576978,0.7
4,64,2,1,32,0.661184320266889,0.03656042428516992,0.7
8,4,2,1,512,0.6721601334445372,0.04317871694280571,0.7272727272727273
16,4,2,1,4,0.7014512093411176,0.020765905945411795,0.6909090909090909
8,1,2,1,64,0.6501918265221018,0.03537367450538278,0.6818181818181818
4,64,2,1,64,0.6721267723102585,0.02246832146943688,0.7
8,256,2,1,64,0.6831359466221851,0.02710612176740106,0.7181818181818181
8,8,2,1,2,0.6465221017514595,0.03505906030230914,0.6181818181818182
8,1,2,1,128,0.6483903252710592,0.022980857968573222,0.6909090909090909
8,32,2,1,64,0.6923269391159299,0.01759463818127673,0.6909090909090909
4,64,2,1,128,0.6940783986655547,0.0315452414345357,0.7181818181818181
8,1,2,1,256,0.6337781484570476,0.029598490171450487,0.6181818181818182
16,16,2,1,256,0.6831359466221851,0.018186133192661488,0.7363636363636363
8,8,2,1,4,0.6813344453711426,0.03233218902294659,0.7454545454545455
16,4,2,1,8,0.7069224353628023,0.0315549423714787,0.7272727272727273
8,256,2,1,128,0.6867889908256881,0.007776007376299818,0.7272727272727273
4,64,2,1,256,0.6831859883236031,0.02832945729619417,0.7181818181818181
8,1,2,1,512,0.6391659716430359,0.014367537103070078,0.7181818181818181
16,128,2,1,128,0.6996663886572143,0.02886075563487195,0.7181818181818181
8,32,2,1,128,0.7051209341117598,0.017876525747715293,0.7090909090909091
8,8,2,1,8,0.7032860717264388,0.03881513135648861,0.7181818181818181
8,256,2,1,256,0.6977981651376147,0.010110075092811656,0.6818181818181818
16,4,2,1,16,0.7050208507089242,0.03427206714529586,0.7
8,8,2,1,16,0.7161634695579651,0.019341000711394142,0.7090909090909091
8,32,2,1,256,0.6995996663886572,0.04261427551277623,0.7636363636363637
32,2,2,1,128,0.6977814845704753,0.01864418859110814,0.7
16,16,2,1,512,0.7051376146788991,0.03081039375934292,0.7090909090909091
8,256,2,1,512,0.6776146788990827,0.026650389218884844,0.7454545454545455
8,8,2,1,32,0.6959132610508757,0.030868515104775802,0.7272727272727273
16,128,2,1,256,0.7087739783152627,0.011096326506131396,0.7636363636363637
8,32,2,1,512,0.6940783986655547,0.036493482356028624,0.7090909090909091
16,4,2,1,32,0.714211843202669,0.03735872111135402,0.6727272727272727
16,32,2,1,2,0.6446872393661385,0.01214253632813073,0.6454545454545455
