Name,SMILES_List,Ratio_List,Biodegradability
AC_248,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",0
AC_249,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
AC_25,"['C(=O)CCCCCCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_251,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_257,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
AC_258,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",0
AC_26,"['C(=O)CCCCCCCCC(=O)', 'OCC#CCO']","[1, 1]",0
AC_260,"['C(=O)c(ccc1)cc1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
AC_261,"['C(=O)c(ccc1)cc1C(=O)', 'OCC=CCO']","[1, 1]",0
AC_262,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
AC_263,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_264,"['C(=O)c(ccc1)cc1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_266,"['C(=O)c(cc1)ccc1C(=O)', 'OCCC(C)CCO']","[1, 1]",1
AC_27,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",1
AC_274,"['C(=O)CCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_275,"['C(=O)CCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_277,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_278,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
AC_28,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
