Polymer_Name_P,Mn,Mw,D,THF Soluble,Ordering,Crystalline,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,Ratio 1,Ratio 2,Ratio 3
DGA25_AZA25_BND50_P,,,,,102,Y,T2_A2,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,1,1,2
GLA25_CCD25_BND50_P,,,,,103,N,T2_A3,12,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,1,1,2
SUA25_EBA25_BND50_P,,,,,104,Y,T2_A4,12,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,1.1,0.9,2
GLA50_DPG25_GGE25_P,,,,,105,N,T2_A10,13,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,2,1.2,0.8
TOA25_CCD25_BND50_P,,,,,106,N,T2_A5,13,"solid (waxy, opaque)",Y,Y,Clear Zone,20231018,1.1,0.9,2
SCA25_DGA25_BND50_P,,,,,107,Y,T2_A6,13,"solid (elastic, opaque)",Y,Y,Clear Zone,20231018,0.9,1.1,2
SUA50_DPG25_TPG25_P,,,,,108,NA,T2_A7,13,viscous,Y,Y,Clear Zone,20231018,2,1,1
GLA50_DPG25_TPG25_P,,,,,109,NA,T2_A8,13,viscous,Y,Y,Clear Zone,20231018,2,1,1
ADA50_DPG25_CHD25_P,,,,,110,N,T2_A9,13,"solid (waxy, opaque)",Y,Y,Distributed,20231018,2,1.1,0.9
CCD50_DPG25_PTD25_P,,,,,111,N,T2_B1,13,"solid (elastic, clear)",Y,Y,Distributed,20231018,2,0.7,1.3
GLA50_DPG25_DEG25_P,,,,,112,NA,T2_B2,13,viscous,Y,Y,Clear Zone,20231018,2,1,1
SBA50_TPD25_TPG25_P,,,,,113,N,T2_B10,14,"solid (waxy, opaque)",Y,Y,Distributed,20231115,2,0.6,1.4
SUA50_DPG25_CHM25_P,,,,,114,NA,T2_B3,14,viscous,Y,Y,Distributed,20231018,2,0.9,1.1
DGA25_ADA25_DPG50_P,,,,,115,NA,T2_B4,14,viscous,Y,Y,Clear Zone,20231209,1.1,0.9,2
SCA50_TPD25_HND25_P,,,,,116,NA,T2_B5,14,viscous,Y,Y,Distributed,20231115,2,0.9,1.1
TOA50_TPD25_OTD25_P,,,,,117,NA,T2_B6,14,viscous,Y,Y,Clear Zone,20231115,2,0.9,1.1
GLA50_TPD25_TEG25_P,,,,,118,NA,Revisions_18,,,Y,Y,Clear Zone,Revision,2,0.9,1.1
GLA50_TPD25_BPA25_P,,,,,119,NA,T2_B8,14,viscous,Y,N,No Growth,20231115,2,1,1
SCA50_TPD25_OTD25_P,,,,,120,NA,T2_B9,14,viscous,Y,Y,Distributed,20231115,2,0.9,1.1
DGA50_TPD25_MPD25_P,,,,,121,NA,T2_C1,14,viscous,Y,Y,Clear Zone,20231115,2,0.9,1.1
TOA50_DPD25_HND25_P,,,,,122,NA,T2_C10,15,viscous,Y,Y,Clear Zone,20231115,2,1,1
SUA50_TPD25_PTD25_P,,,,,123,NA,Revisions_19,,,Y,Y,Distributed,Revisions,2,1,1
ADA50_TPD25_PTD25_P,,,,,124,NA,Revisions_20,,,Y,Y,Clear Zone,Revisions,2,0.9,1.1
GLA50_TPD25_HND25_P,,,,,125,NA,T2_C4,15,viscous,Y,Y,Clear Zone,20231115,2,0.9,1.1
DGA50_TPD25_BED25_P,,,,,126,N,T2_C5,15,"solid (elastic, opaque)",Y,Y,Distributed,20231115,2,1,1
CCD25_SBA25_TPD50_P,,,,,127,NA,T2_C6,15,viscous,Y,Y,Distributed,20231115,0.7,1.3,2
GLA25_DGA25_TPD50_P,,,,,128,NA,T2_C7,15,viscous,Y,Y,Distributed,20231115,1,1,2
AZA50_DPD25_TPG25_P,,,,,129,N,T2_C8,15,"solid (elastic, clear)",Y,Y,Distributed,20231115,2,1,1
CCD50_DPD25_BED25_P,,,,,130,,Revisions_23,,,Y,Y,Distributed,Revisions,2,1.1,0.9
GLA50_DPD25_PTD25_P,,,,,131,NA,T2_D1,15,viscous,Y,Y,Clear Zone,20231115,2,1,1
SBA50_DPD25_CHM25_P,,,,,132,NA,T2_D2,15,viscous,Y,N,NA,20231115,2,0.9,1.1
ADA50_PTD25_HND25_P,,,,,133,N,T2_D10,16,"solid (waxy, opaque)",Y,Y,Hydrolysis,20231115,2,1,1
EBA50_DPD25_CHM25_P,,,,,134,N,T2_D3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,2,1,1
SUA50_DPD25_CHM25_P,,,,,135,N,T2_D4,16,"solid (waxy, opaque)",Y,Y,Distributed,20231115,2,1.1,0.9
CCD50_DPD25_NND25_P,,,,,136,,Revisions_24,,,Y,Y,Distributed,Revisions,2,1,1
CCD50_DPD25_CHD25_P,,,,,137,,Revisions_25,,,Y,Y,Distributed,Revisions,2,1.1,0.9
DGA50_DPD25_BED25_P,,,,,138,N,T2_D7,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,2,1,1
DGA25_AZA25_DPD50_P,,,,,139,NA,T2_D8,16,viscous,Y,Y,Distributed,20231115,1.1,0.9,2
DGA25_ADA25_DPD50_P,,,,,140,NA,T2_D9,16,viscous,Y,Y,Distributed,20231115,1.1,0.9,2
EBA50_PTD25_NND25_P,,,,,141,N,T2_E1,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,2,1,1
DGA50_PTD25_HND25_P,,,,,142,N,T2_E2,16,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,2,1,1
GLA50_PTD25_OTD25_P,,,,,143,Y,T2_E3,16,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,2,0.9,1.1
DGA50_DEG25_BED25_P,,,,,144,N,T2_E10,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231115,2,1,1
ADA50_PTD25_TEG25_P,,,,,145,NA,T2_E4,17,viscous,Y,Y,Hydrolysis,20231115,2,1.1,0.9
DGA50_PTD25_TEG25_P,,,,,146,N,T2_E5,17,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,2,1.1,0.9
GLA25_ADA25_PTD50_P,,,,,147,NA,T2_E6,17,viscous,Y,Y,Clear Zone,20231115,2,1,1
GLA25_DGA25_PTD50_P,,,,,148,NA,T2_E7,17,viscous,Y,Y,Clear Zone,20231115,1,1,2
SCA50_DEG25_BPA25_P,,,,,149,,Revisions_26,,,Y,Y,Color Interference,Revisions,2,1.1,0.9
ADA50_DEG25_CHM25_P,,,,,150,N,T2_E9,17,"solid (waxy, opaque)",Y,Y,Clear Zone,20231115,2,0.8,1.2
DGA50_DEG25_OTD25_P,,,,,151,N,T2_F1,17,"solid (elastic, clear)",Y,Y,Clear Zone,20231209,2,1,1
SUA50_DEG25_DCD25_P,,,,,152,Y,T2_F2,17,"solid (waxy, opaque)",Y,Y,Distributed,20231115,2,0.9,1.1
ADA50_DEG25_GGE25_P,,,,,153,NA,T2_F3,17,viscous,Y,Y,Clear Zone,20231115,2,1,1
CCD50_DEG25_OTD25_P,,,,,154,,Revisions_27,,,Y,Y,Distributed,Revisions,2,1,1
GLA50_HND25_BED25_P,,,,,155,NA,T2_F10,18,viscous,Y,Y,Clear Zone,20231115,2,2,0
GLA25_DGA25_DEG50_P,,,,,156,NA,T2_F5,18,viscous,Y,Y,Clear Zone,20231115,1,1,2
EBA50_HND25_MPD25_P,,,,,157,NA,T2_F6,18,viscous,Y,Y,Clear Zone,20231209,2,1,1
